epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.6761,1.47793,2.80623,1.89279,0.0015,1,0.10219,0.03919,1.09382,5.28759,1.91244,2e-05,2e-05,2e-05
2,31.6989,1.40842,2.65166,1.8801,0.0015,1,0.12539,0.05845,0.96951,5.16469,1.75814,5.703e-05,5.703e-05,5.703e-05
3,47.2477,1.27758,2.51139,1.73818,0.0015,1,0.23288,0.12386,0.81029,5.00357,1.58502,9.01e-05,9.01e-05,9.01e-05
4,63.4069,1.06573,2.28953,1.44415,0.0015,1,0.30756,0.212,0.65647,4.80459,1.40817,0.00011921,0.00011921,0.00011921
5,79.646,0.96505,1.99111,1.3683,0.0015,1,0.33941,0.25288,0.62249,4.66545,1.30687,0.00014436,0.00014436,0.00014436
6,101.851,0.96062,1.73936,1.34621,0.0015,1,0.3687,0.26524,0.6931,4.65081,1.36016,0.00016555,0.00016555,0.00016555
7,124.794,0.96483,1.39265,1.31636,0.0015,1,0.32587,0.21467,0.82758,4.63509,1.51561,0.00018278,0.00018278,0.00018278
8,148.38,0.84,1.21238,1.29764,0.14168,0.95652,0.27491,0.18355,0.90801,4.58534,1.60954,0.00019605,0.00019605,0.00019605
9,173.117,0.93671,1.21219,1.2966,0.21051,0.6087,0.26144,0.17859,0.91994,4.56729,1.64393,0.00020536,0.00020536,0.00020536
10,199.503,0.92668,1.12583,1.29007,0.26896,0.47993,0.29835,0.2155,0.93188,4.46929,1.66017,0.00021071,0.00021071,0.00021071
11,226.159,0.8125,1.92809,1.40249,0.28719,0.86957,0.35212,0.26684,0.93156,4.45216,1.61765,0.0002121,0.0002121,0.0002121
12,253.463,0.77773,1.92059,1.30344,0.48756,0.0424,0.4074,0.3116,0.96185,4.47559,1.59938,0.00020953,0.00020953,0.00020953
13,281.486,0.92173,1.93655,1.37704,0.00144,0.95652,0.3831,0.2558,1.0607,4.63652,1.71434,0.000203,0.000203,0.000203
14,311.491,0.84654,1.82117,1.28199,0.04268,0.91304,0.3776,0.2194,1.33396,4.79879,2.12442,0.00019251,0.00019251,0.00019251
15,340.58,0.75459,1.72893,1.30914,0.00144,0.95652,0.28844,0.14498,1.44888,5.08549,2.29576,0.00017806,0.00017806,0.00017806
16,369.276,0.69343,1.60689,1.2747,0.00144,0.95652,0.29195,0.15463,1.42275,5.03555,2.18479,0.00015965,0.00015965,0.00015965
17,398.265,0.60903,1.58934,1.1966,0.0015,1,0.2865,0.16779,1.24696,4.91761,1.90454,0.00013728,0.00013728,0.00013728
18,426.897,0.69447,1.54932,1.28652,0.00144,0.95652,0.30422,0.20666,1.09142,4.785,1.70258,0.00011095,0.00011095,0.00011095
19,455.918,0.77367,1.50821,1.36434,0.00151,0.95652,0.29498,0.21002,1.04688,4.69442,1.63137,8.066e-05,8.066e-05,8.066e-05
20,485.05,0.68706,1.44919,1.23949,0.00744,1,0.30065,0.2156,1.035,4.64207,1.61164,4.641e-05,4.641e-05,4.641e-05
