epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,340.072,0.71965,2.49937,1.36009,0.00333,1,0.21726,0.16543,0.6157,3.22083,1.62137,0.0012654,0.0004218,0.0012654,0.0004218,0.0012654,0.0004218,0.0012654,0.0004218
32,344.15,0.84749,2.39103,1.43129,0.00333,1,0.21726,0.16543,0.6157,3.22083,1.62137,0.00128917,0.000429722,0.00128917,0.000429722,0.00128917,0.000429722,0.00128917,0.000429722
33,357.304,1.08529,2.51017,1.59517,0.00333,1,0.24759,0.18943,0.61786,3.21437,1.55293,0.00131174,0.000437248,0.00131174,0.000437248,0.00131174,0.000437248,0.00131174,0.000437248
34,361.828,0.84052,2.40328,1.49837,0.00333,1,0.24759,0.18943,0.61786,3.21437,1.55293,0.00133313,0.000444378,0.00133313,0.000444378,0.00133313,0.000444378,0.00133313,0.000444378
35,374.728,0.77711,2.43652,1.40267,0.00333,1,0.3046,0.23482,0.58845,3.22771,1.51151,0.00135334,0.000451112,0.00135334,0.000451112,0.00135334,0.000451112,0.00135334,0.000451112
36,378.679,0.86422,2.39875,1.42138,0.00333,1,0.3046,0.23482,0.58845,3.22771,1.51151,0.00137235,0.00045745,0.00137235,0.00045745,0.00137235,0.00045745,0.00137235,0.00045745
37,391.301,0.81856,2.43252,1.40411,0.00333,1,0.41757,0.22169,0.57841,3.23618,1.50657,0.00139018,0.000463392,0.00139018,0.000463392,0.00139018,0.000463392,0.00139018,0.000463392
38,395.258,0.89069,2.34819,1.49436,0.00333,1,0.41757,0.22169,0.57841,3.23618,1.50657,0.00140681,0.000468938,0.00140681,0.000468938,0.00140681,0.000468938,0.00140681,0.000468938
39,407.658,0.73476,2.272,1.41086,0.00333,1,0.45923,0.23945,0.58392,3.20891,1.48324,0.00142226,0.000474088,0.00142226,0.000474088,0.00142226,0.000474088,0.00142226,0.000474088
40,411.683,0.62681,2.26149,1.28392,0.00333,1,0.45923,0.23945,0.58392,3.20891,1.48324,0.00143653,0.000478842,0.00143653,0.000478842,0.00143653,0.000478842,0.00143653,0.000478842
41,424.116,0.73079,2.27995,1.32986,0.00333,1,0.597,0.2623,0.5906,3.19613,1.4747,0.0014496,0.0004832,0.0014496,0.0004832,0.0014496,0.0004832,0.0014496,0.0004832
42,428.044,0.72653,2.23146,1.32294,0.00333,1,0.597,0.2623,0.5906,3.19613,1.4747,0.00146149,0.000487162,0.00146149,0.000487162,0.00146149,0.000487162,0.00146149,0.000487162
43,440.564,0.63371,2.23384,1.28504,0.00333,1,0.61815,0.31183,0.60716,3.19194,1.48389,0.00147218,0.000490728,0.00147218,0.000490728,0.00147218,0.000490728,0.00147218,0.000490728
44,444.567,0.77054,2.31617,1.40324,0.00333,1,0.61815,0.31183,0.60716,3.19194,1.48389,0.00148169,0.000493898,0.00148169,0.000493898,0.00148169,0.000493898,0.00148169,0.000493898
45,457.265,0.73589,2.36408,1.41988,0.00333,1,0.60958,0.37593,0.58761,3.16986,1.49786,0.00149002,0.000496672,0.00149002,0.000496672,0.00149002,0.000496672,0.00149002,0.000496672
46,461.196,0.72009,2.21705,1.32153,0.00333,1,0.60958,0.37593,0.58761,3.16986,1.49786,0.00149715,0.00049905,0.00149715,0.00049905,0.00149715,0.00049905,0.00149715,0.00049905
47,473.688,0.6577,2.22219,1.35803,0.00333,1,0.56859,0.37257,0.57464,3.16106,1.50418,0.0015031,0.000501032,0.0015031,0.000501032,0.0015031,0.000501032,0.0015031,0.000501032
48,477.603,0.82346,2.28075,1.40144,0.00333,1,0.56859,0.37257,0.57464,3.16106,1.50418,0.00150785,0.000502618,0.00150785,0.000502618,0.00150785,0.000502618,0.00150785,0.000502618
49,490.271,0.58796,2.12693,1.30105,0.00333,1,0.56657,0.35617,0.57465,3.20254,1.52926,0.00151142,0.000503808,0.00151142,0.000503808,0.00151142,0.000503808,0.00151142,0.000503808
50,494.223,0.62532,2.07484,1.25137,0.00333,1,0.56657,0.35617,0.57465,3.20254,1.52926,0.00151381,0.000504602,0.00151381,0.000504602,0.00151381,0.000504602,0.00151381,0.000504602
51,506.784,0.65626,2.37444,1.33462,0.00333,1,0.56455,0.35588,0.5525,3.20921,1.52207,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505
52,510.764,0.64769,2.30611,1.27958,0.00333,1,0.56455,0.35588,0.5525,3.20921,1.52207,0.00151501,0.000505002,0.00151501,0.000505002,0.00151501,0.000505002,0.00151501,0.000505002
53,514.78,0.63147,2.08584,1.21852,0.00333,1,0.56455,0.35588,0.5525,3.20921,1.52207,0.00151382,0.000504608,0.00151382,0.000504608,0.00151382,0.000504608,0.00151382,0.000504608
54,527.36,0.84369,2.25766,1.4603,0.00333,1,0.731,0.37097,0.5559,3.17484,1.53051,0.00151145,0.000503818,0.00151145,0.000503818,0.00151145,0.000503818,0.00151145,0.000503818
55,531.314,0.65294,2.07081,1.29607,0.00333,1,0.731,0.37097,0.5559,3.17484,1.53051,0.0015079,0.000502632,0.0015079,0.000502632,0.0015079,0.000502632,0.0015079,0.000502632
