epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.8446,1.47793,2.80623,1.89279,0.0015,1,0.10219,0.03919,1.09382,5.28759,1.91244,2e-05,2e-05,2e-05
2,31.1707,1.40766,2.65081,1.87953,0.0015,1,0.12714,0.05911,0.96466,5.15854,1.75009,5.9703e-05,5.9703e-05,5.9703e-05
3,46.2767,1.27311,2.50721,1.7383,0.0015,1,0.21045,0.12194,0.81101,5.06254,1.5543,9.901e-05,9.901e-05,9.901e-05
4,61.9257,1.04359,2.27868,1.43127,0.0015,1,0.28721,0.19658,0.67155,4.73809,1.38248,0.000137921,0.000137921,0.000137921
5,77.4847,0.97047,1.94368,1.36142,0.0015,1,0.28626,0.21154,0.62575,4.68092,1.32546,0.000176436,0.000176436,0.000176436
6,93.3829,0.95932,1.64643,1.34242,0.0015,1,0.28998,0.19934,0.78887,4.63623,1.47912,0.000214555,0.000214555,0.000214555
7,108.955,0.96633,1.27376,1.31286,0.0015,1,0.23997,0.1414,1.01809,4.59658,1.84143,0.000252278,0.000252278,0.000252278
8,124.498,0.84015,1.14512,1.3039,0.25804,0.30435,0.26112,0.16244,1.05342,4.53131,1.92607,0.000289605,0.000289605,0.000289605
9,140.129,0.92234,1.11322,1.30302,0.23398,0.26087,0.29259,0.19851,1.0374,4.49541,1.89851,0.000326536,0.000326536,0.000326536
10,156.625,0.95532,1.02595,1.29848,0.29742,0.29482,0.31207,0.21081,0.9866,4.47103,1.76161,0.000363071,0.000363071,0.000363071
11,172.466,1.07697,1.21264,1.35521,0.2554,0.22397,0.30843,0.19697,0.95782,4.62199,1.6327,0.00039921,0.00039921,0.00039921
12,188.202,0.95379,1.25364,1.30222,0.16989,0.13043,0.26973,0.17265,0.957,4.76019,1.6296,0.000434953,0.000434953,0.000434953
13,203.333,0.88394,1.27831,1.35553,0.23921,0.52174,0.28831,0.15484,1.2124,4.85244,1.95632,0.0004703,0.0004703,0.0004703
14,218.938,0.7631,1.28474,1.26974,0.27782,0.73913,0.26682,0.13771,1.37949,5.01905,2.11044,0.000505251,0.000505251,0.000505251
15,234.627,0.89771,1.16203,1.32216,0.27401,0.52174,0.265,0.12051,1.53042,4.98669,2.43053,0.000539806,0.000539806,0.000539806
16,251.177,0.89185,1.1222,1.26589,0.30213,0.45206,0.25744,0.11757,1.57238,4.92933,2.39943,0.000573965,0.000573965,0.000573965
17,267.019,0.83374,1.06712,1.22171,0.28394,0.47826,0.31128,0.17602,1.42516,4.93494,2.09341,0.000607728,0.000607728,0.000607728
18,282.827,0.90977,1.08934,1.38735,0.28115,0.69565,0.28178,0.16294,1.31605,4.9308,1.961,0.000641095,0.000641095,0.000641095
19,298.776,0.85495,1.06079,1.33173,0.28892,0.69565,0.28528,0.18092,1.2173,5.00032,1.85873,0.000674066,0.000674066,0.000674066
20,315.336,0.71299,1.03931,1.17548,0.27714,0.78261,0.2937,0.19199,1.38524,4.96249,2.20594,0.000706641,0.000706641,0.000706641
21,332.062,0.84728,0.97255,1.17575,0.3278,0.86957,0.32029,0.21407,1.41429,5.09216,2.24479,0.00073882,0.00073882,0.00073882
22,348.871,0.7505,1.03072,1.24893,0.34142,0.86957,0.32263,0.21241,1.30105,4.92533,1.95926,0.000770603,0.000770603,0.000770603
23,365.31,0.91561,0.98788,1.28077,0.33894,0.8694,0.4197,0.29949,1.06939,5.02244,1.78211,0.00080199,0.00080199,0.00080199
24,381.725,0.81582,0.95124,1.23763,0.33487,0.82609,0.43015,0.30747,1.12375,5.29345,1.85136,0.000832981,0.000832981,0.000832981
