epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.1379,1.43996,2.71578,1.81618,0.0015,1,0.09815,0.03865,1.11256,5.30801,1.9039,2e-05,2e-05,2e-05
2,29.9945,1.41968,2.66834,1.77882,0.0015,1,0.13338,0.05966,1.0184,5.17767,1.76578,5.9406e-05,5.9406e-05,5.9406e-05
3,45.3197,1.04714,2.33542,1.43516,0.0015,1,0.25767,0.14797,0.87274,5.08423,1.56727,9.802e-05,9.802e-05,9.802e-05
4,60.5387,1.02216,2.26388,1.45511,0.0015,1,0.39623,0.25769,0.79035,4.82744,1.46354,0.000135842,0.000135842,0.000135842
5,74.4475,0.98234,1.99083,1.42544,0.0015,1,0.36096,0.24209,0.77729,4.78271,1.3846,0.000172872,0.000172872,0.000172872
6,91.3246,1.03605,1.70484,1.3913,0.0015,1,0.38907,0.25743,0.75273,4.60309,1.40804,0.00020911,0.00020911,0.00020911
7,106.445,0.87522,1.34959,1.32883,0.25054,0.91304,0.43854,0.28258,0.89288,4.52897,1.64102,0.000244556,0.000244556,0.000244556
8,122.901,0.94562,1.33988,1.31335,0.03871,1,0.36364,0.2182,1.0268,4.51242,1.78233,0.00027921,0.00027921,0.00027921
9,138.679,1.05087,1.30468,1.33524,0.1074,1,0.35496,0.20262,1.07815,4.57547,1.76256,0.000313072,0.000313072,0.000313072
10,155.814,0.92911,1.1467,1.3328,0.21502,0.91304,0.33192,0.19438,1.0939,4.61289,1.77372,0.000346142,0.000346142,0.000346142
11,171.208,0.87129,1.15422,1.27338,0.36566,0.65217,0.33104,0.2033,1.07444,4.55824,1.76107,0.00037842,0.00037842,0.00037842
12,186.342,0.8959,1.13968,1.30652,0.42187,0.6087,0.40416,0.26936,0.93743,4.63267,1.66979,0.000409906,0.000409906,0.000409906
13,201.084,0.92896,1.28093,1.36291,0.4052,0.6087,0.39372,0.26997,1.04455,4.61936,1.75532,0.0004406,0.0004406,0.0004406
14,216.433,0.92726,1.08054,1.31032,0.39083,0.5861,0.412,0.29327,1.03537,4.66777,1.77561,0.000470502,0.000470502,0.000470502
15,231.994,0.94132,1.08958,1.37227,0.31319,0.69565,0.33293,0.21236,1.13904,4.78452,1.96952,0.000499612,0.000499612,0.000499612
16,246.916,0.89608,1.09828,1.27516,0.28817,0.65217,0.2749,0.18361,1.13379,4.82423,1.86998,0.00052793,0.00052793,0.00052793
17,262.35,0.85751,1.06927,1.28782,0.29665,0.66028,0.27731,0.17324,1.14093,5.41817,1.96073,0.000555456,0.000555456,0.000555456
18,278.091,0.79331,1.02784,1.22262,0.32686,0.65217,0.33235,0.20424,1.47468,6.65159,2.61597,0.00058219,0.00058219,0.00058219
19,295.068,0.81322,1.03223,1.27793,0.39561,0.82534,0.3725,0.23198,1.41928,6.71686,2.43355,0.000608132,0.000608132,0.000608132
20,311.89,0.87672,1.10764,1.26621,0.34804,0.86957,0.37625,0.2708,1.27584,5.32013,2.20457,0.000633282,0.000633282,0.000633282
21,328.251,0.79996,0.9987,1.26512,0.29838,0.82609,0.29713,0.19643,1.31876,5.15418,2.30753,0.00065764,0.00065764,0.00065764
22,342.071,0.82337,0.93274,1.18217,0.30056,0.82609,0.27749,0.16876,1.3244,5.0458,2.22087,0.000681206,0.000681206,0.000681206
23,355.77,0.83067,1.05109,1.19775,0.25849,0.62157,0.22966,0.13358,1.40226,5.2853,2.25077,0.00070398,0.00070398,0.00070398
24,369.47,0.8284,1.02291,1.20505,0.24467,0.65217,0.2212,0.12874,1.48962,5.1825,2.31437,0.000725962,0.000725962,0.000725962
25,383.97,0.78641,0.92593,1.23601,0.26153,0.69565,0.2375,0.16317,1.17424,5.16398,1.92759,0.000747152,0.000747152,0.000747152
26,397.738,0.78149,0.91782,1.2502,0.28967,0.82609,0.26505,0.18667,1.1429,5.0328,2.03092,0.00076755,0.00076755,0.00076755
27,412.215,0.83221,0.90977,1.17735,0.30269,0.82609,0.25936,0.1745,1.20461,5.67061,2.18997,0.000787156,0.000787156,0.000787156
28,426.794,0.80109,0.90556,1.21066,0.30269,0.82609,0.25936,0.1745,1.20461,5.67061,2.18997,0.00080597,0.00080597,0.00080597
29,441.291,0.83411,0.89974,1.16933,0.28398,0.69565,0.27126,0.17539,1.27643,6.24869,2.29856,0.000823992,0.000823992,0.000823992
30,455.276,0.73362,0.89149,1.22614,0.28126,0.69565,0.25056,0.14634,1.35859,6.2017,2.30678,0.000841222,0.000841222,0.000841222
31,469.305,0.80365,0.9061,1.22842,0.28126,0.69565,0.25056,0.14634,1.35859,6.2017,2.30678,0.00085766,0.00085766,0.00085766
32,483.537,0.81047,0.89854,1.19653,0.30178,0.73913,0.29948,0.1972,1.25859,5.48438,2.01559,0.000873306,0.000873306,0.000873306
33,501.012,0.76725,0.91442,1.25961,0.26852,0.78261,0.22614,0.12964,1.36546,5.86458,2.19257,0.00088816,0.00088816,0.00088816
34,516.467,0.70345,0.81096,1.15473,0.26852,0.78261,0.22614,0.12964,1.36546,5.86458,2.19257,0.000902222,0.000902222,0.000902222
35,531.048,0.78512,0.88264,1.13963,0.23448,0.65217,0.21181,0.12129,1.41329,5.35131,2.2328,0.000915492,0.000915492,0.000915492
36,546.06,0.78819,0.82698,1.14392,0.23246,0.7112,0.20435,0.12577,1.37597,4.67323,2.19487,0.00092797,0.00092797,0.00092797
37,560.832,0.71494,0.90077,1.18426,0.23246,0.7112,0.20435,0.12577,1.37597,4.67323,2.19487,0.000939656,0.000939656,0.000939656
38,575.818,0.74619,0.91255,1.22221,0.26451,0.67256,0.27839,0.16855,1.60874,5.46763,2.52965,0.00095055,0.00095055,0.00095055
39,592.027,0.74187,0.81947,1.12968,0.34495,0.56522,0.38222,0.23167,1.54172,6.22522,2.52553,0.000960652,0.000960652,0.000960652
