epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.0656,1.33722,1.4495,1.83667,0.31802,0.86957,0.39683,0.19586,1.89567,6.01761,2.92501,1.667e-05,1.667e-05,1.667e-05
2,15.0798,1.33274,1.4273,1.76794,0.31901,0.91304,0.38987,0.17803,1.93098,6.00429,3.02018,4.96799e-05,4.96799e-05,4.96799e-05
3,17.113,1.23362,1.26186,1.68722,0.27762,0.82609,0.35291,0.1744,1.85835,7.02632,2.80699,8.22498e-05,8.22498e-05,8.22498e-05
4,19.0461,1.3783,1.45076,1.78851,0.26864,0.78261,0.29093,0.15272,1.72301,6.98178,2.57958,0.00011438,0.00011438,0.00011438
5,21.0561,1.30645,1.47596,1.66113,0.25855,0.69746,0.29335,0.1544,1.75468,6.41937,2.57847,0.000146069,0.000146069,0.000146069
6,23.0955,1.31021,1.19999,1.62877,0.27907,0.65217,0.29318,0.12339,1.99058,6.75593,2.73741,0.000177319,0.000177319,0.000177319
7,24.979,1.34794,1.36351,1.74028,0.28309,0.69565,0.34747,0.13528,2.05785,6.39803,2.6824,0.000208128,0.000208128,0.000208128
8,26.9269,1.21123,1.26726,1.57332,0.27721,0.69565,0.28296,0.13469,1.77489,6.44949,2.27402,0.000238498,0.000238498,0.000238498
9,28.9105,1.31499,1.28975,1.67031,0.27127,0.78261,0.2614,0.13398,1.70963,6.23167,2.1877,0.000268427,0.000268427,0.000268427
10,30.9113,1.25374,1.18102,1.64223,0.29116,0.73913,0.2658,0.14504,1.56178,5.90808,2.05098,0.000297916,0.000297916,0.000297916
11,33.0047,1.33635,1.38737,1.8529,0.26092,0.78261,0.26382,0.13722,1.52808,5.1621,2.06499,0.000326965,0.000326965,0.000326965
12,35.1645,1.15183,1.12124,1.55706,0.28614,0.73913,0.30919,0.13898,1.88715,5.72155,2.44241,0.000355574,0.000355574,0.000355574
13,37.494,1.31979,1.25995,1.66673,0.29286,0.69565,0.31937,0.13055,2.25329,5.94866,2.87222,0.000383743,0.000383743,0.000383743
14,39.9274,1.34221,1.23096,1.66781,0.31619,0.65217,0.33444,0.12488,2.37362,5.78703,3.0983,0.000411472,0.000411472,0.000411472
15,43.0682,1.215,1.22597,1.62845,0.32164,0.701,0.35488,0.13096,2.42121,6.10933,3.15524,0.000438761,0.000438761,0.000438761
16,46.4505,1.18895,1.12278,1.50744,0.2821,0.47826,0.27275,0.11321,2.44374,6.21394,3.11143,0.00046561,0.00046561,0.00046561
17,49.7932,1.13355,1.0689,1.51293,0.23276,0.47826,0.19282,0.08549,2.26835,5.73855,2.83633,0.000492018,0.000492018,0.000492018
18,53.4494,1.28583,1.50211,1.75285,0.21517,0.65217,0.19947,0.09434,2.07004,5.03688,2.54352,0.000517987,0.000517987,0.000517987
19,57.4163,1.23395,1.29114,1.60567,0.23542,0.56522,0.20998,0.1031,1.87308,4.75331,2.40062,0.000543515,0.000543515,0.000543515
20,61.3768,1.18449,1.14705,1.57681,0.28611,0.65217,0.25497,0.12681,1.74828,4.66384,2.44358,0.000568604,0.000568604,0.000568604
21,65.2004,1.21556,1.24151,1.66684,0.31855,0.78261,0.30209,0.16357,1.63717,4.54641,2.36476,0.000593252,0.000593252,0.000593252
22,68.7054,1.12977,1.25129,1.54555,0.30189,0.78976,0.33833,0.21145,1.55335,4.88007,2.35043,0.00061746,0.00061746,0.00061746
23,70.9598,1.18178,1.26212,1.52434,0.28612,0.80176,0.31108,0.18223,1.62083,5.3524,2.37947,0.000641228,0.000641228,0.000641228
24,72.8797,1.20832,1.34827,1.61165,0.30637,0.65217,0.29606,0.12736,1.96451,6.3914,2.6338,0.000664556,0.000664556,0.000664556
25,74.7597,1.22232,1.14809,1.57304,0.29686,0.6087,0.26768,0.10731,2.04189,6.45257,2.68952,0.000687444,0.000687444,0.000687444
26,76.6489,1.1159,1.18093,1.54213,0.23514,0.78871,0.2681,0.11224,1.91091,6.29037,2.54158,0.000709892,0.000709892,0.000709892
27,78.576,1.18628,1.11542,1.56686,0.27565,0.86957,0.27748,0.13306,1.78272,5.79076,2.41249,0.0007319,0.0007319,0.0007319
28,80.5764,1.22549,1.21416,1.63286,0.27565,0.86957,0.27748,0.13306,1.78272,5.79076,2.41249,0.000753467,0.000753467,0.000753467
29,82.5979,1.24158,1.20635,1.59739,0.29659,0.86957,0.29283,0.12749,1.76505,5.39758,2.45112,0.000774595,0.000774595,0.000774595
30,84.4928,1.25892,1.26316,1.6401,0.29861,0.82609,0.28212,0.13152,1.90701,5.49495,2.64988,0.000795282,0.000795282,0.000795282
