epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.1387,2.0315,2.78056,2.44318,0.0015,1,0.11562,0.03902,1.10161,5.33842,1.90192,2e-05,2e-05,2e-05
2,11.1382,1.58197,2.65264,1.88621,0.0015,1,0.14503,0.05515,1.00807,5.10242,1.74819,5.9406e-05,5.9406e-05,5.9406e-05
3,13.1189,1.7027,2.60148,2.24402,0.0015,1,0.23945,0.12517,0.82952,4.93115,1.57408,9.802e-05,9.802e-05,9.802e-05
4,15.0189,1.27268,2.47569,1.70419,0.0015,1,0.31358,0.22304,0.65764,4.74442,1.41888,0.000135842,0.000135842,0.000135842
5,17.0191,1.06385,2.10518,1.53229,0.0015,1,0.37507,0.23286,0.89941,4.96216,1.54053,0.000172872,0.000172872,0.000172872
6,18.9714,1.15527,1.99657,1.59792,0.0015,1,0.35543,0.17688,1.22523,5.20343,1.82836,0.00020911,0.00020911,0.00020911
7,20.8688,1.18346,1.93569,1.45024,0.0015,1,0.28995,0.12176,1.30144,5.32526,1.99624,0.000244556,0.000244556,0.000244556
8,22.7559,1.16709,1.46588,1.57422,0.0015,1,0.30835,0.15884,1.08743,5.13599,1.79704,0.00027921,0.00027921,0.00027921
9,24.6517,1.06379,1.55105,1.58184,0.0015,1,0.30921,0.16194,1.04609,5.06464,1.78518,0.000313072,0.000313072,0.000313072
10,26.5186,1.07451,1.33129,1.39716,0.0015,1,0.31959,0.1724,1.12813,4.9797,1.84067,0.000346142,0.000346142,0.000346142
11,28.4085,1.12383,1.35068,1.54022,0.0015,1,0.28262,0.15007,1.14055,5.01618,1.80585,0.00037842,0.00037842,0.00037842
12,30.3292,1.12115,1.32326,1.4561,0.0015,1,0.25972,0.13045,1.27571,5.02309,1.93808,0.000409906,0.000409906,0.000409906
13,32.1851,1.1038,1.30483,1.53201,0.11234,0.82609,0.23383,0.13297,1.26363,4.94639,1.99474,0.0004406,0.0004406,0.0004406
