epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.18833,1.60584,2.63866,2.08688,0.00333,1,0.23557,0.10232,0.63134,3.26026,1.60905,0,0,0
2,8.36412,1.42337,2.6071,1.74657,0.00333,1,0.22682,0.10841,0.61215,3.25833,1.57748,1.9802e-05,1.9802e-05,1.9802e-05
3,12.5978,1.0735,2.54321,1.53285,0.00333,1,0.21466,0.12148,0.58538,3.23017,1.54923,3.9208e-05,3.9208e-05,3.9208e-05
4,16.4987,1.34139,2.66111,1.81151,0.00333,1,0.22375,0.15732,0.55366,3.20108,1.50447,5.8218e-05,5.8218e-05,5.8218e-05
5,20.4917,1.08878,2.59734,1.64467,0.00333,1,0.51849,0.24013,0.54799,3.19931,1.43431,7.6832e-05,7.6832e-05,7.6832e-05
6,24.5503,0.82378,2.31088,1.54036,0.00333,1,0.76718,0.47424,0.55009,3.17314,1.39943,9.505e-05,9.505e-05,9.505e-05
7,28.4089,0.80727,2.23293,1.42622,0.00333,1,0.8469,0.50208,0.55675,3.17686,1.36436,0.000112872,0.000112872,0.000112872
8,32.3661,0.75419,2.09815,1.4326,0.00333,1,0.87433,0.56623,0.55046,3.12475,1.31697,0.000130298,0.000130298,0.000130298
9,36.2626,0.7881,2.06688,1.36133,0.00333,1,0.92667,0.61876,0.5239,3.12536,1.31061,0.000147328,0.000147328,0.000147328
10,40.2051,0.80815,1.78007,1.34741,0.00333,1,0.9125,0.62846,0.53374,3.11866,1.34528,0.000163962,0.000163962,0.000163962
11,44.0619,0.97495,1.71356,1.4698,0.00333,1,0.885,0.58593,0.59962,3.09813,1.39278,0.0001802,0.0001802,0.0001802
12,48.011,0.78426,1.5723,1.36373,0.00333,1,0.97214,0.68904,0.63335,3.01981,1.43587,0.000196042,0.000196042,0.000196042
13,52.4126,0.72851,1.37379,1.35884,0.00333,1,0.995,0.72183,0.72681,3.02659,1.572,0.000211488,0.000211488,0.000211488
14,56.5382,0.71326,1.54304,1.25391,0.00333,1,0.995,0.70133,0.76068,3.05711,1.62969,0.000226538,0.000226538,0.000226538
15,60.4878,0.67718,1.67294,1.3442,0.00333,1,0.995,0.73456,0.73624,3.09613,1.55425,0.000241192,0.000241192,0.000241192
16,64.4967,0.6625,1.20175,1.23859,0.00333,1,0.995,0.70847,0.77361,3.12975,1.60177,0.00025545,0.00025545,0.00025545
17,68.4718,0.64498,1.08794,1.25048,0.00333,1,0.995,0.63813,0.81146,3.13857,1.63839,0.000269312,0.000269312,0.000269312
18,72.4346,0.62721,1.35828,1.29877,0.00333,1,0.995,0.63813,0.81146,3.13857,1.63839,0.000282778,0.000282778,0.000282778
19,76.4197,0.80885,1.18152,1.39064,0.00333,1,0.94786,0.6711,0.81203,3.06271,1.69473,0.000295848,0.000295848,0.000295848
20,80.2597,0.71622,1.09522,1.26598,0.00333,1,0.94786,0.6711,0.81203,3.06271,1.69473,0.000308522,0.000308522,0.000308522
21,84.3999,0.75946,1.17724,1.40516,0.00566,1,0.97214,0.65055,0.83098,2.93113,1.80823,0.0003208,0.0003208,0.0003208
22,88.3537,0.64532,1.1506,1.29566,0.00566,1,0.97214,0.65055,0.83098,2.93113,1.80823,0.000332682,0.000332682,0.000332682
23,92.3818,0.47261,0.95156,1.05596,1,0.91158,0.995,0.60001,0.93198,2.83414,2.05962,0.000344168,0.000344168,0.000344168
24,96.2396,0.69596,1.18075,1.29644,1,0.91158,0.995,0.60001,0.93198,2.83414,2.05962,0.000355258,0.000355258,0.000355258
25,100.37,0.67025,0.95641,1.30858,1,0.6475,0.899,0.61426,1.098,2.77591,2.11054,0.000365952,0.000365952,0.000365952
26,104.282,0.70691,1.08081,1.29323,1,0.6475,0.899,0.61426,1.098,2.77591,2.11054,0.00037625,0.00037625,0.00037625
27,108.262,0.64304,1.04903,1.20204,1,0.62946,0.85543,0.52526,1.27519,2.86218,2.35321,0.000386152,0.000386152,0.000386152
28,112.122,0.612,0.89474,1.14301,1,0.62946,0.85543,0.52526,1.27519,2.86218,2.35321,0.000395658,0.000395658,0.000395658
29,116.081,0.68265,1.1201,1.30145,1,0.57843,0.78643,0.44815,1.52313,3.16135,2.82232,0.000404768,0.000404768,0.000404768
30,120.025,0.70247,0.96852,1.21869,1,0.57843,0.78643,0.44815,1.52313,3.16135,2.82232,0.000413482,0.000413482,0.000413482
31,124.087,0.63546,1.01611,1.18084,1,0.47908,0.73786,0.47039,1.51156,3.29158,2.69983,0.0004218,0.0004218,0.0004218
32,127.976,0.69651,0.98803,1.20984,1,0.47908,0.73786,0.47039,1.51156,3.29158,2.69983,0.000429722,0.000429722,0.000429722
33,131.97,0.77462,1.02833,1.28169,0.69428,0.5,0.73786,0.54576,1.36199,3.13369,2.65897,0.000437248,0.000437248,0.000437248
34,135.944,0.64249,0.92386,1.2767,0.69428,0.5,0.73786,0.54576,1.36199,3.13369,2.65897,0.000444378,0.000444378,0.000444378
35,140.041,0.61683,0.9555,1.15554,0.76963,0.5,0.75618,0.54638,1.29965,3.08811,2.54366,0.000451112,0.000451112,0.000451112
36,143.99,0.70061,1.07052,1.21469,0.76963,0.5,0.75618,0.54638,1.29965,3.08811,2.54366,0.00045745,0.00045745,0.00045745
37,147.894,0.70561,1.0415,1.20706,0.90024,0.83333,0.955,0.57275,1.30291,2.80524,2.52174,0.000463392,0.000463392,0.000463392
38,151.864,0.54888,0.87079,1.23261,0.90024,0.83333,0.955,0.57275,1.30291,2.80524,2.52174,0.000468938,0.000468938,0.000468938
39,155.848,0.53117,0.81723,1.16214,0.96313,0.83333,0.865,0.48283,1.38234,2.66198,2.60655,0.000474088,0.000474088,0.000474088
40,159.734,0.537,0.81366,1.10022,0.96313,0.83333,0.865,0.48283,1.38234,2.66198,2.60655,0.000478842,0.000478842,0.000478842
41,163.659,0.55434,0.94579,1.10394,0.96459,0.83333,0.835,0.48302,1.59101,2.65469,2.80342,0.0004832,0.0004832,0.0004832
42,167.648,0.58558,0.85513,1.1524,0.96459,0.83333,0.835,0.48302,1.59101,2.65469,2.80342,0.000487162,0.000487162,0.000487162
43,171.76,0.46649,0.81773,1.09275,0.97644,0.83333,0.83654,0.43265,1.76041,2.63288,2.84162,0.000490728,0.000490728,0.000490728
44,175.712,0.57875,0.94243,1.14934,0.97644,0.83333,0.83654,0.43265,1.76041,2.63288,2.84162,0.000493898,0.000493898,0.000493898
45,179.651,0.65563,0.99528,1.28225,0.97336,0.83333,0.84167,0.48287,1.53977,2.58717,2.65786,0.000496672,0.000496672,0.000496672
