epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1997,2.54335,2.86692,3.0223,0.0015,1,0.11609,0.03951,1.12502,5.30223,1.93558,2e-05,2e-05,2e-05
2,14.1835,2.45362,2.75046,2.75203,0.0015,1,0.12264,0.04916,1.02017,5.18824,1.86319,5.9604e-05,5.9604e-05,5.9604e-05
3,16.1689,2.21787,2.65637,2.58895,0.0015,1,0.16904,0.08782,0.9242,4.999,1.79067,9.868e-05,9.868e-05,9.868e-05
4,18.0854,1.98547,2.71392,2.31378,0.0015,1,0.24507,0.16079,0.86791,5.08615,1.71612,0.000137228,0.000137228,0.000137228
5,20.0104,1.79273,2.56472,2.1025,0.0015,1,0.28109,0.15443,1.01824,5.31284,1.90229,0.000175248,0.000175248,0.000175248
6,21.8831,1.70164,2.34609,1.94651,0.0015,1,0.27017,0.09373,1.30249,5.98104,2.20606,0.00021274,0.00021274,0.00021274
7,23.8328,1.62471,2.15972,1.96164,0.0015,1,0.20539,0.07425,1.69023,7.08119,2.59696,0.000249704,0.000249704,0.000249704
8,25.7159,1.54203,2.17166,1.83114,0.0015,1,0.13663,0.04942,2.35503,7.64074,3.43977,0.00028614,0.00028614,0.00028614
9,27.6584,1.65145,1.79157,1.91583,0.0015,1,0.16181,0.04656,2.68801,7.62725,3.86034,0.000322048,0.000322048,0.000322048
10,29.5657,1.43647,1.62742,1.81273,0.00137,0.91304,0.17458,0.04983,2.87704,8.07551,4.56586,0.000357428,0.000357428,0.000357428
11,31.5272,1.63698,2.00314,2.12191,0.00137,0.91304,0.14287,0.04763,2.85868,7.96151,4.67681,0.00039228,0.00039228,0.00039228
12,33.4186,1.38887,1.66842,1.79392,0.00137,0.91304,0.11735,0.0408,2.82735,7.78043,4.64432,0.000426604,0.000426604,0.000426604
13,35.3662,1.5617,1.69162,1.85554,0.00144,0.95652,0.10409,0.03304,2.88651,7.19301,4.70278,0.0004604,0.0004604,0.0004604
14,37.3613,1.558,1.65779,1.89721,0.00137,0.91304,0.10066,0.02993,2.72879,6.8586,4.36595,0.000493668,0.000493668,0.000493668
15,39.3167,1.48518,1.57622,1.82799,0.00137,0.91304,0.14683,0.04994,2.41407,6.83337,3.88352,0.000526408,0.000526408,0.000526408
16,41.2592,1.42078,1.56882,1.71891,0.21119,0.17464,0.22683,0.0794,2.00905,6.20996,3.06482,0.00055862,0.00055862,0.00055862
17,43.1418,1.31357,1.35177,1.66608,0.27925,0.52222,0.25964,0.08778,1.95297,5.37712,2.78104,0.000590304,0.000590304,0.000590304
18,45.0481,1.54192,1.90159,1.9689,0.28628,0.47826,0.26307,0.07877,1.90992,5.73425,2.88652,0.00062146,0.00062146,0.00062146
19,46.9521,1.56477,1.62565,1.8668,0.16576,0.82609,0.23615,0.06697,2.00215,5.72868,2.96477,0.000652088,0.000652088,0.000652088
20,48.9183,1.42359,1.62566,1.78823,0.15133,0.82609,0.22197,0.0772,1.85443,5.41428,2.738,0.000682188,0.000682188,0.000682188
21,50.853,1.35049,1.47117,1.77771,0.15504,0.1998,0.21796,0.08746,1.59685,5.12131,2.4468,0.00071176,0.00071176,0.00071176
22,52.7783,1.43515,1.62171,1.80186,0.2607,0.78193,0.26044,0.11857,1.7285,5.0714,2.46976,0.000740804,0.000740804,0.000740804
23,54.7075,1.53479,1.70475,1.78806,0.259,0.69565,0.2491,0.09249,2.12294,5.42132,3.05247,0.00076932,0.00076932,0.00076932
24,56.6187,1.43341,1.77518,1.84586,0.24395,0.65217,0.21846,0.05266,2.3318,5.64537,3.57779,0.000797308,0.000797308,0.000797308
25,58.5161,1.31388,1.47555,1.6633,0.16666,0.43478,0.15479,0.03339,2.49489,6.33103,3.87159,0.000824768,0.000824768,0.000824768
26,60.5001,1.34724,1.51374,1.77684,0.17593,0.47826,0.15323,0.05633,2.32173,5.75524,3.57641,0.0008517,0.0008517,0.0008517
27,62.4179,1.37593,1.43989,1.71373,0.17326,0.43478,0.1504,0.0604,2.08372,5.49718,3.39231,0.000878104,0.000878104,0.000878104
