epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,157.713,1.45626,1.09466,1.57685,0.55299,0.624,0.53431,0.1744,2.01313,2.30782,2.09991,0.00121591,0.00121591,0.00121591
43,161.944,1.31329,1.01891,1.54963,0.55735,0.64469,0.54487,0.16722,2.14678,2.27926,2.22427,0.00120491,0.00120491,0.00120491
44,166.305,1.5547,1.15664,1.64838,0.53911,0.56,0.47973,0.15842,2.22594,2.41221,2.35848,0.00119391,0.00119391,0.00119391
45,169.445,1.66151,1.18344,1.73504,0.53911,0.56,0.47973,0.15842,2.22594,2.41221,2.35848,0.0011829,0.0011829,0.0011829
46,173.164,1.37608,1.06916,1.44327,0.56398,0.57949,0.48962,0.18936,2.16702,2.3831,2.34141,0.0011719,0.0011719,0.0011719
47,176.9,1.48119,1.05845,1.48702,0.55362,0.6,0.55403,0.23953,2.03824,2.33737,2.22166,0.0011609,0.0011609,0.0011609
48,180.407,1.26399,1.15805,1.5179,0.51534,0.584,0.53341,0.22911,2.08261,2.47262,2.26648,0.0011499,0.0011499,0.0011499
49,183.802,1.41928,1.22421,1.58835,0.51534,0.584,0.53341,0.22911,2.08261,2.47262,2.26648,0.00113889,0.00113889,0.00113889
50,187.27,1.34718,1.14172,1.60552,0.50851,0.52974,0.47109,0.1817,2.17949,2.57295,2.3355,0.00112789,0.00112789,0.00112789
51,190.34,1.39376,1.35884,1.58405,0.4962,0.6067,0.44824,0.14297,2.26446,2.97097,2.39374,0.00111689,0.00111689,0.00111689
52,194.203,1.3186,1.11203,1.52126,0.46402,0.60949,0.43388,0.13478,2.25977,3.1835,2.38682,0.00110589,0.00110589,0.00110589
53,198.178,1.50913,1.10091,1.58073,0.46402,0.60949,0.43388,0.13478,2.25977,3.1835,2.38682,0.00109489,0.00109489,0.00109489
54,202.166,1.47794,1.09234,1.56109,0.56081,0.496,0.40285,0.13051,2.14192,2.73768,2.31507,0.00108388,0.00108388,0.00108388
55,205.919,1.43048,1.16335,1.78417,0.56722,0.528,0.40213,0.13454,2.10602,2.73909,2.37894,0.00107288,0.00107288,0.00107288
56,209.562,1.49591,1.11912,1.51364,0.5665,0.576,0.40265,0.14438,2.24675,3.02832,2.69641,0.00106188,0.00106188,0.00106188
57,212.914,1.38108,1.09642,1.50051,0.5665,0.576,0.40265,0.14438,2.24675,3.02832,2.69641,0.00105088,0.00105088,0.00105088
58,216.28,1.44638,1.14403,1.55259,0.53725,0.552,0.39105,0.14308,2.32064,3.19884,2.96561,0.00103987,0.00103987,0.00103987
59,219.971,1.20984,0.97997,1.38701,0.54816,0.568,0.46856,0.17881,2.25489,3.14707,2.91333,0.00102887,0.00102887,0.00102887
60,223.349,1.35349,1.09349,1.4831,0.5444,0.64047,0.52044,0.18836,2.14208,3.09363,2.57435,0.00101787,0.00101787,0.00101787
