epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7708,2.55342,3.28968,3.00984,0.00373,1,0.09433,0.04079,1.12789,5.71491,1.93556,1.667e-05,1.667e-05,1.667e-05
2,13.8113,2.4504,3.11993,2.73845,0.00366,1,0.18013,0.07954,1.02634,5.59046,1.84992,4.96799e-05,4.96799e-05,4.96799e-05
3,15.8505,2.23681,3.07443,2.60906,0.00355,1,0.18963,0.10724,0.95145,5.49925,1.76313,8.22498e-05,8.22498e-05,8.22498e-05
4,17.8506,2.05942,3.14582,2.39146,0.0035,1,0.27573,0.17131,0.87043,5.40346,1.73426,0.00011438,0.00011438,0.00011438
5,19.7996,1.88306,2.98006,2.18958,0.00348,1,0.26081,0.16392,0.8959,5.46928,1.75801,0.000146069,0.000146069,0.000146069
6,21.7505,1.78831,2.78476,2.0227,0.00345,1,0.31022,0.149,1.06402,5.77351,1.87512,0.000177319,0.000177319,0.000177319
7,23.6973,1.67156,2.63734,2.0472,0.00335,1,0.27811,0.10194,1.45175,6.61863,2.12072,0.000208128,0.000208128,0.000208128
8,25.6679,1.53402,2.59052,1.89244,0.00327,1,0.17133,0.06488,1.89972,7.34391,2.55382,0.000238498,0.000238498,0.000238498
9,27.6838,1.69678,2.25546,2.01762,0.0033,1,0.23403,0.08015,1.97572,7.79679,2.70338,0.000268427,0.000268427,0.000268427
10,29.6174,1.50427,1.83425,1.8507,0.00316,0.95652,0.21343,0.08,2.08381,7.08384,2.89513,0.000297916,0.000297916,0.000297916
11,31.5505,1.59366,2.18709,2.09925,0.00318,0.95652,0.19666,0.0785,1.93062,6.71819,2.68944,0.000326965,0.000326965,0.000326965
12,33.4832,1.4205,2.01218,1.85261,0.00321,0.95652,0.21308,0.08703,1.7649,6.63588,2.49029,0.000355574,0.000355574,0.000355574
13,35.4009,1.57189,1.92609,1.93391,0.00333,1,0.29062,0.11605,1.59919,5.99503,2.34644,0.000383743,0.000383743,0.000383743
14,37.3342,1.56034,1.83699,1.93815,0.0031,0.95652,0.3212,0.10913,1.63871,5.7194,2.34949,0.000411472,0.000411472,0.000411472
15,39.2879,1.43728,1.81112,1.88193,0.00308,0.95652,0.28283,0.0877,1.67706,5.84881,2.3575,0.000438761,0.000438761,0.000438761
16,41.2696,1.38137,1.76305,1.72373,0.00348,1,0.25156,0.08785,1.66888,5.61552,2.34862,0.00046561,0.00046561,0.00046561
17,43.3513,1.32254,1.45176,1.72029,0.27279,0.4731,0.30065,0.09287,1.68804,5.33121,2.37042,0.000492018,0.000492018,0.000492018
18,45.3527,1.55582,2.08586,2.01474,0.23482,0.21739,0.30518,0.10329,1.70588,5.47863,2.48432,0.000517987,0.000517987,0.000517987
19,47.4127,1.5463,1.79436,1.9673,0.29163,0.56522,0.30917,0.08562,1.816,5.76795,2.6733,0.000543515,0.000543515,0.000543515
20,49.3675,1.42644,1.66642,1.80212,0.25624,0.6087,0.29848,0.07782,1.86341,5.83323,2.87553,0.000568604,0.000568604,0.000568604
21,51.8843,1.53623,1.70128,1.95054,0.32314,0.7682,0.31903,0.08051,1.87954,5.26379,2.79922,0.000593252,0.000593252,0.000593252
22,53.9676,1.35638,1.61135,1.74545,0.31995,0.78261,0.32217,0.13074,1.58682,5.19195,2.29797,0.00061746,0.00061746,0.00061746
